Predator,Habitat,Food and feeding
Cape Fox,". Mainly Open country, including grassland with scattered thickets and light-ly wooded areas, particularly in the dry Karoo regions of South Africa, the Kalahari Desert, and the fringes of the Namib Desert. Also in lowland fynbos in the WesternCape, as well as agricultural lands, where the foxes lie up in surviving pockets of natu-ral vegetation during the day and forage 0n arable and cultivated fields at night. Along the eastern flank of the Namib Desert in Namibia, they occupy rock outcroppings and inselbergs, ranging out onto bare gravel plains at night. In Botswana, they have been recorded in Acacia scrubland, short grassland, and especially on the edges ofshallow seasonal pans, as well as cleared and overgrazed areas. In the central Karooof South Africa they occupy the plains as well as low, rocky ridges and isolated rock()utcmppings. In KwaZulu-Natal, South Africa, they have been recorded at elevations ‘of 1000—1500 m",". The Cape Fox consumes a wide range of food items, includingsmall rodents (murids), hares, reptiles, birds, invertebrates, and some wild fruits. Ananalysis of the contents of 57 stomachs collected across western and central SouthAfrica and Botswana showed that rodents were the most commonly eaten mammalprey; beetles (larvae and adults) and grasshoppers comprised the majority of inver-tebrate intake. Birds and reptiles are occasionally included in the diet, but are prob-ably less important. The largest wild prey species recorded are hares and spring hares.Cape Foxes will also scavenge and occasionally take young lambs and goats. Foragingis solitary, although foxes may occasionally gather in loose groupings to forage at anabundant food source. They obtain their prey mostly by digging rapidly with theirfront paws, often preceded by periods of intent listening. Caching of prey is common-"
Cape grey mongoose," Found in a wide range ni' habitats. in ikn‘rstt-d us well as tmn-forestul 11mm.but generally avoids open spaces. ()(rm‘s' mainly in Karon 21ml Km’ruitl hushveld,2m(1srlcrophyllnus hush. and is often awnviztled with refuge areas such as dense bushes21nd rurky ()lll(‘I'()[)S. hut gn'nids open fields with short vegetation. More (‘mnnmn in(111' than in wet areas (especiulh turns with u warm temperate climate). hut is absentfrom the driest parts 01' the region (Kalahari thm‘m'eld; rainfall below 20 cm). Some—times found close to human settlements. Recorded from 862! level (around the \\'est<-rn(Iape) to 1900111 (KwaZuhl-Natal)",". An opportunistic predator. its diet includes a wide range of preyfrom termites and grasshoppers tn snakes 21nd rodents. Nevertheless, the Staple foodsare generally small mammals or insects. In the \Nest (Ioast National Park (WesternCape), murids predominated in the diet (90%). with insects (33%) forming a second—an” food resource. Vlei raw and Four—striped Grass Mouse appear 10 be favored muridprey. It has been recorded feeding on larger mammals such as Scrub Hares (Lepusmxutilis) and Cape Porcupine (Hysm'x aﬁicaeaustralis), and has even been known toattack and kill (Zztpe Giysbok (Raphiceros melanotis) lambs by tearing at the nose andmouth. However, because it scavenges, it is uncertain to what extent large prey in thediet is the result of active predation. They have been observed to associate with smallraptors (African marsh harrier Circus ranivorus) while foraging. Usually moves frombush to bush, inspecting potential foraging sites like holes and rodent nests. It seemsto rely mainly on sight and smell for food searching. It scratches the soil in search ofinvertebrates, but is not an avid digger. Insects caught on the ground are held downwith the front feet and then taken directly in the mouth. Larger prey are stalked.the killing bite delivered to the head. Small mammals are chewed in the side of themouth. Insects are thoroughly masticated. Larger and tougher prey is held ﬁrmly onthe ground with the front feet and torn apart. Cape Gray Mongooses can break eggsby throwing them against a vertical surface."
Caracal," Caracal are found in dry woodlands, savanna, acacia scrub, hilly steppe, andarid mountain areas to 2500 m. They do not live in true desert or dense tropical rainforest. They are often associated with edge habitats where forest and grassland meet,and though they use open grasslands at night, they require access to bushes and rocksfor daytime rest sites",". Caracal generally take prey that weigh less than 5 kg, includinghares, hyrax, small rodents, and birds. They will, however, take larger (over 15 kg) prey if the opportunity arises. In two studies in South Africa’s Mountain Zebra National Park, hyrax were found in 53 and 60% of seats, and Mountain Reedbuck were found in eleven and 20% of seats, respectively. Due to their greater size, reedbuek contributed 62 and 72% of meat consumed. Caracal also killed a variety of other bovids in and outside the park, including Springbok, duiker, and Steenbok. Bovids, including Reed-buck, (Zom‘mmr: E’Miker (:Sz'sz'capm gn'mmia) and Blue Duiker (Philatomba monticola),Steenholm >1 - i“ angit. Common Rhebok (Pelea capreolus), and Klipspringers (Oreot'ragusmeotmgm the most frequently occurring (436%) prey items in the stomach con-tents of 42 Jay: A Horn the Eastern Cape Province, South Africa. Hyrax and Scrub Hare combined ranked second at almost 20%. In Botswana, Caracal fed mainly on small mammals but they also ate hares, spring hares, quail, partridge, and lizards. Mammals were also the dominant prey of caracal in Israel, and hares were the principal prey.Birds, mainly partridges, made up 24% of the cat’s diet in this area. Incidental prey included mole rats, hedgehogs, the Egyptian Mongoose, and reptiles and insects. ln Turkmenistan, small prey such as hare, sand rats, jerboas, and ground squirrels domi-nate the Caracal’s diet. Caracal stalk as Close as possible to their prey before making a final sprint; they also use their powerful hindlegs to make prodigious leaps in to the airto capture birds hare sized prey IS kllled Wlth a  bite to the nape. Larger preyis usually killed by suffocation with a throat bite."
Cheetah," Distributed primarily throughout the drier parts of subSaharan Africa, avoid-ing forest and only thinly distributed in more humid woodland. Most frequently observed on open grassy plains, but may prefer a mosaic of woodland and grassland usingbush, scrub, and open woodlands. May expend less energy for hunting with more cover present. Range up to 1500 m in Ethiopia and 2000 m in the mountains of southeast Algeria. Well adapted to arid conditions, surviving in small populations aroundcentral Saharan mountain ranges",". Specialized 0n gazelles and small to medium sized antelopes as prey.major prey is Thomsons and Grants Gazelle, Gerenuk (Lilocranms zuallpri).Impala, -:f,‘*:$S€I‘ Kudu (Tragelaphus imberbis), and dikdik (Madaqua) in East Africa Springbok, Impala, calves of Greater Kudu, Giraffe and even African Buffalo, South-ern Reedhuck, Puku (Kobus vardom'z'), and Common Warthog in southern africa Hartebeest, Oribi (Ou'rebz'a ourebi), and Kob in Central Africa. Saharan Cheetahs occasionally take Barbary Sheep and ostrich. In the absence of ungulate prey, cheetahs may entirely subsist on smaller prey like guineafowl and other ground-living birds and hares, the latter especially in Iran, but male coalitions also bring down large prey  like Blue wildebeest  In all studies, young prey animals are taken in preference to adults. One case of male cannibalism reported cheetahs often lose their kills to lions leopards and hyenas they rarely scavenge or return to a previously abandined kill  howewr, may remain  near large kills in the absenceof more powerful predators on ranchland the cheetah starts eating at the hindquarters first an individual can consume 14kg at one sitting and a groupof four finished an impala carcass in 15 minutes. This fast swallowing helps to counter loss to competitors average meat consumption is 2.4 kg/(lzly. Cheetahs hunt by sight, Prey isoften detected from a Vantage point. They prefer to stalk toward vigilant adult prey, walknig semi crouched freezing in mid-stride 0r crouching if the quarry looks up, to Within less than :)ll 11:before racing out at about (30 km/h. They also wait crouched if they see an unsuspecting prey moving toward them, or walk slowly toward a herd of gazelles in full view then break into a sprint from 60—70 m away if the herd has not runoff some rushes are started from as far as 600 m away if prey is grazing or is oblivious to cheetahs spresence, particularly toward a standing or nursing neonate gazelle. Sprintsrarely last longer than 200—300 m, maximum of 600 m. Top speed has been recorded at 102 km/h, strides are up to 9 m, and all four feet are airborne at least twice in each stride. The respiratory rate Climbs from 60 to 150 breaths per minute in a high-speedChase. When drawing level with its prey, a Cheetahs knocks an antelope off balanceby slapping it with a front paw 0n the shoulder, rump, 0r thigh. The dew Claws help to secure the prey. The Cheetah then reaches for the throat and Clamps the muzzle 0r windpipe shut with its jaws. Larger prey is suffocated within 2—10 minutes, then the kill is dragged into the nearest shade or cover. Hares are killed with a bite through the head. Hunting success was slightly over 50% on adult gazelles and was 1009'; on small fawns in the Serengeti. Single Cheetahs killed prey every 25—60 hours in Nairobi National Park. In Kalahari Desert they travel an average of 82 km between drinks of water, mainly satisfying their moisture requirements by drinking blood or urine oftheir prey or eating tsamma melons."
Chilla," Steppes, grasslands and scmblands. South American Gray FOXES generallyinhabit plains and low mountains, but they have been reported to occur 11:9 high a:3500—4000 m. Although they occur in a variety of habitats. they prefer shrubbvzpm;areas. In Chile, they hunt more commonly in ﬂat open patches of low scrub. 1h Chi].can Patagonia, their typical habitat consists of shrubby steppe composed of coin’m(l’mlum spp., Stipa spp.) and ﬁircs (Nothqfagus antarrfim). Burning and destruction offorests for sheep farming seems to have been advantageous for these foxes. 1n Torres(16] Paine National Park, 58% of twelve individlulls monitored showed preferentialuse ()I' matorral shrublzmd 0r Nothofag‘us thicket habitat within their home ranges. Inthe Mendoza desert, Argentina, they prefer the luwcr levels of shrubby sand dunesrather than higher sections. They tolerate 21 variety of clinmlcs. including hot and dry areas such as the Atacama coastal desert in northern (Zhik‘ (less than 2 mm awrugeannual rainfall, 22°C mean annual temperature). the humid temperate \‘aldix'iun for-est (2000 mm average annual rainfall, 12°C mean annual lcmpemturv). zmd the cold(-m'imnmc-m ()i‘Ticrrzl (lel Fuego (c. 400 mm uwruge unnuul rainfall. 7°C mum an-nual lcnqx-ralurc). ",". South American (imy Foxes zu'e mnniym'nus generalistx. l‘cmm“(m a variety of funds, includingr mammals. urthmpuds. birds. reptiles, h‘uit. tillti m:riun. Fruits"" ingested include berries ()I' (Ilyptnraiyu (11/211 and l,iI/nm'u rumtim in (ihiltgpods ()I' I’nnoﬂis spp.. and the berty—like h‘tuts of I’ms'n/umrlu' mm'nmmz and HI sow”!(lactacezte in Argentina. A tendency to carniymy is apparent. however, since V(‘l‘lv-brates, especially rodents. are reported to be the most important prey in most studim,Small mammals were the most frequently occurring vertebrate prey in most sites inthe Chilean maternal and in the temperate rainftn‘ests ()fsouthern (Ihile. In 'l‘un‘t-s (chPaine National Park, the European Hare was the most represented Vertebrate prev.[bllnwed by (""anion and ztkndnntine rodents. In the Argentine Patagonian Slt‘ppt', (-3}.lion was the most important fond item in 42 stomachs collected in winter (l‘t'ln‘t‘st‘m-ing 62% ()fbimnztss ingested), [hlluwed by hares 21nd ericetine rodents. In Argentina""\southern Patagonia, diet also consisted primarily ()i'eat'rinn, followed by birds. rodents.and fruit. Diet included invertebrates. earrion, birds, and rodents in 'I‘iernt (Iel Fuegu.In the harshest habitats of its range, the foxes’ diets include increasingly higher pmportions of non-mzunmztl food as small mammal availability decreases. l,i/urtls‘ werethe most Consumed vertebrate prey in winter, the season ()flowest small mznnmul :mtil-ubility in coastal northern (Ihile. SmalI-mammal consumption decreased limn autumnto summer. and fruit consumption increased. In central Chile. berries appeared in52% 0f the droppings (n = 127) collected in autumn, while in spring. when snmlimammal availability is highest, berries were present in only 18‘} ()I' the feces (n :-62). In Mendoza (Monte desert), fruit was represented in 33""? HI feces (n = 110).Ibllowecl by small mammals (19% frequency of ()Ccurrent'e). {Van aging occurs mmth'in open areas. Although hunting groups of up to 4—5 IllCII\‘I(IlMi‘-~. haw been reported.South American Gray Foxes mostly hunt solitarily, except pub» at the end of thebreeding season, when juveniles mayjoin the parents in sum h t}! mud. In Torres (MPaine National Park, the most common foraging behm'nn‘ mw ml of slow \x'zllkil‘f-i~with abrupt, irregular turns through 10w vegetation. The aunt"" I .7 iii)” noted that preyappear to be located by sound, sight, and smell. Mice gm a-nplni‘ed with 21 suddenleap ()r by rapidly digging holes. Scavenging is common, us well as defecation (m andaround (iuanaeo (11mm gunmen?) and domestic qoat eut‘eusses. ( inching behavior hasalso been reported. L"
Chinese mountain cat,"While its name suggests it is an inhabitant of mountainous ytelgsgfa rCCemsuwey in western Sichuan Province, China, found it was restricted to high Elevation steppe grasslands. There was no evidence that the cat lived in true desert or forested mountains. Has been recorded from elevations of 2500—4100 m",. Rodents such as Whitetailed Pine Voles and Mole Rats are the main prey. Pikas and birds (Phasianidae) are also taken. 
Collared Mongoose," Primary, réinfofest, disturbed forest, and plantations. On Borneo, recordedfrom lowland areas up to 1200 m.",. Nothing known.
Colocolo," Found in the greatest variety ofhabitats of any South American felid. Mainly as}sociated with open habitats. In Brazil it is found in savanna like woodlands, open grasslands, seasonally flooded grasslands and forest. In other areas It 18 reported from 30th thickets, semi-arid deserts, mangroves, marshes, swamps, and even Cloud forest. It is not reported from lowland trOpical and temperate rainforest. From sealevel to 4800 m",". No detailed information from the wild. Theought to feed on smallmammals, guinea pigs, mountain Viscachas, and ground dowelllng buns (Tinamidam Has been seen taking penguin eggs and Chicks from nests in patagonia."
common cusimanse," Dense undergrowth 0f rainforest and riparian forest, but also in logged for—est. and plantations. Ranges from sea leV€l to 1000 m (in Sierra Leone) and 1500 m inMount Nimba (Guinea)",". Feeds on invertebrates and vertebrates of the forest ﬂoor and inrolling logs. Invertebrate prey includes snails (Gastropoda), earthworms (Oligocha-vla), spiders (Arachnida), crabs (Decapoda), woodlice (Isopoda), centipedes (Chilo— poda), millipedes (Diplopoda), grasshoppers 21nd crickets (Orthoptera), cockroaches(Blattaria), beetles (Coleoptera), mason wasp larvae (Eumenidae). Vertebrate preyincludes frogs, snakes, lizards (including eggs), birds (including eggs and nestlings),and small mammals (up to SiZC of Greater Cane Rat rI‘hyronomys swindmianus). Fruitsand berries are also consumed. Forages by scratching and rooting using claws andsnout. Small mammals are killed with a bite to back of the neck. Invertebrate prey ap—parently shaken before consumption."
common dwarf mongoose,". Found in a wide range 01‘ habitats. principally in savannah, tree savannah,woodland. and dry hush. Also occurs in forests. Associated with termitaria, which areused as dens. In Zimbabwe, not found above 1 100 m.Food ",". Predominantly insectivorous diet, especially Coleoptera (bee—1105) and termites, but also Myriapoda (ccntipedes), larvae, and occasional smallVertebrates (including small mammals, geckos, snakes, and birds). Common Dwarf Mongooses move as a group, but indiw'duals spread out to forage whlle the g‘roup‘lsmoving. Examination of 160 scans from Natal (South Africa), found the followtng 116-quency ()foccurrence ()ffood types: (Ioleoptera (79%), Ol‘thOpter'd (64%), Mynupodil(34%),Arach1'1ida (21%), Seeds (12%), Isoptera (8%), Hemiptera (8%), Lepldoptem(4%), and Mammalia (1%). Frequency of occurrence of food types in 27 stomachscollected from the northern area ofsouthern Africa: Insecta (undeterminml) (44%),Coleoptera adults (37%) and grubs (33%). Orthoptem (33%), Isoptcra (33%), Ara—neae (11%), Muridae (4%), 1V1yriapoda (4%), Reptilia (4%), Scorpiones (4%), andSolifngae (4%). Observed to crack crested francolin (Manmlinus seplmmm) eggs bygrasping the eggs in their forelimbs and throwing them backwards through the hind»limbs onto a rock or other hard surface. Small vertebrates (e.g. mice or snakes) arekilled with a bite through the back of the head. Large insects are generally eaten start-ing with the head."
common slender mongoose," Found in a vanety of habitats, mostly arid and sub—arid areas, but is absentfrom true deserts (Sahara and Namib). Usually absent from forests, but may occurin finest fringes and penetrate into forests along roads. Sometimes found Close to\illages. \Vhen in sympatry with Closely related Species (the Somalian Slender Mon-goose and the Angolan Slender Mongoose), it seems to select bushiel‘, less arid habitat.Ranges from sea level up to the Ethiopian Plateau (2700 in).",". Diet includes 21 wide variety of small mammals and invertebrates.Insects (grasshoppers, termites, beetles, and ants) are found very frequently in stom—achs and feces, but vertebrates are often more important as a percentage of total bio-mass consumed. \r’erebrate prey includes reptiles (e.g. agamas, skinks, and snakes)and rodents ()fvarious genera (6g. Mastomys, Rhabdomys, Pelomys). Wild fruits are con—sumed. Carrion is eaten, along with associated sarcophagous insects. Possibly owingto the climbing ability of this species, wild birds are also occasionally consumed. In asample 01'60 stomachs from Botswana and Zimbabwe, the percentage occurrence ofprey items was: 73% insects, 27% lizards (including southern tree agama A(‘anthomrusalriml/is and the variable skink Trarhylepis varm), and 25% murids (includingr the EastAfrican Pelomys (Pelomys fallax). Based on ObsewatiOIls of captive mongooses, eggsseem a preferred food item and are broken open by smashing them against a hard sur-face. Common Slender Mongooses are implicated in killing domestic birds. The dietseems to follow seasonal variation in availability; insects are more frequently consumedduring wet and warm periods, than in dry and cold ones, when more small mammalsare, eaten. While hunting, Common Slender Mongooses move around continuously.They have been observed chasing and pouncing 0n rodents. and flushing grasshop—pers and catching them in ﬂight."
Corsac Fox," Typically inhabits Steppes, semi-deserts, and deserts, avoiding mountains, terested areas. and dense bush, In the western part Of the range, Corsac Foxes occur It)low—grass steppe, avoiding dense and tall-grass Steppes. They also occur in sandy habitats and shrubland semi-deserts, and in favorable years, in forested Steppes. They avoid areas where depth of snow exceeds c. 15 cm, preferring areas where the snow is either shallower or highly compressed. Corsac Foxes appear to depend on ground squirrels(Spermop/zilus spp.) and marmots (Marmota spp.) for food and shelter (the. burrowsbeing enlarged and used for daytime refuge)",". Generally opportunistic, with a highly variable diet throughoutits range that probably Changes in accordance with availability. The bulk of the dietoften includes the most common rodents of an area. Birds, reptiles (lizards, snakesand young tortoises), and insects are also frequently consumed, especially in summer,as well as small amounts of vegetation (including fruit and seeds). During winter andperiods of low prey abundance, scavenged Gray Wolf kills and carcasses of wild anddomestic unguiates are a major source of food in some areas. Typical prey in westernSiberia includes voles (Microtus gregalis, Amicola terrestris), lemmings (Lagurus spp.),ground squirrels (Spmnophz‘lus spp.), and jerboas (Allactaga spp.) Common Winterprey also Often includes Arctic Hares (Lepus timidus) and birds such as gray partridges(Pmdix pﬂdix) and snow buntings (Plepzrophmax nivalsz). In the forest—steppe 0f Kaza-khstan, the diet consists primarily of lemmings and sousliks. On the Ustyun Plateauand in Turkmenistan the main prey are gerbils (Nlmfunes spp., Rhombomys njjinms); inTransbaikalia and Mongolia, the main prey species are gerbils (JVIWionks spp,),_jerboas(Allru‘tagn spp. and Dipus slap): hamsters (Cricetulus spp. and Phodopus spp.), Bl‘andt‘sVales (Lasiojmdomys bmndllz), Slberlan Mamlots (Marmom .S'i/Iirir'u), and pikas (()('/Z()[()I[(Lspp.). The foxes are solitary foragers, although near carrion or the remains of wolfkills several Corsacs may gather together. The foxes hunt by stalkingr prey and makingsudden short—distance attacks. They locate ground—nesting birds and other small prevby sound and smell. Desplte thelr small sue they can kill prey UP to the Si“. ()f‘wmmfrmarmots, hares, ducks, pheasants, and geese. ’ a"
Coyote," Coyotes utilize almost all available habitats throughout their range including  prairie, forest, desert, mountain, and tropical ecosystems. Their ability to exploit human resources also allows them to occupy urban areas. Water availability may limit distribution in some environments",". Opportunistic, generalist predators that eat a wide variety of fooditCms, ranging from fruit and insects to small mammals to large ungulates and live- stuck. typicnlh consuming items in relation to availability. Livestock and wild ungulatesare when consumed as carrinn. but predation on large ungulates (native and domes—tic) (loos mun: Predation (m neonates of native ungulates am be high during fawn—ing. (onutes in suburban areas are adept at exploiting human-mztde 100d resourcesand will readily consume refuse, pet fund 01‘ other human—relztted items. Studies ofprt-(lutnn' behavior show that (Zowte age, habitat, and wind and snow conditions allinthu‘m‘v their ability to capture small mammals. Coyotes hunt small mammals alone.even when pack size is large When preying on native ungulates, cooperation amongpack members may facilitate the capture of prey, but is not essential. Enw'mnmental 'thctm's are important to the success 01' an attack on adult ungulates, as is the pres—onu- nl' llH' alpha (loyote pair. and younger animals generally do not participate. Thenumber ofﬂoyotes is not as important as which individuals are involved in the attack. 'The outcome is also affected by the ability of the quarry to escape into water, its de— Ifensivc abilities. and its nutritional state. In areas with an ungulztte prey base. in winter, ‘competition with other sympatric carnivores for a carcass may be intense and there caneven be competition among members of the same pack. '"
Crab eating Fox," Occupies most habitats including marshland, savannah, cerrado, caatinga,ehaeo-eerrado—caatinga transitions, scrubland, woodlands, dry and semi-deciduousforests, gallery forest; Atlantic forest, Araucaria forest, isolated savannah within low-land Amazon forest, and montane forest. Records up to 3000 m. Readily adapts to deforestation, agricultural and horticultural development (e.g. sugarcane, eucalyptus,melon, pineapples), and habitats in regeneration. In the arid Chaco regions of Bo-livia, Paraguay, and Argentina, conﬁned to woodland edge. Vegetative habitats generally utilized in proportion to abundance, varying with individual foxs social status and Climatic season. Radiotagged foxes in seasonally flooded savannas of Marajo,Brazil, preferred wooded savannah and regenerating scrub. In the central Llanos ofVenezuela, fox home ranges were generally located in open palm savannah (68% ofsightings) and closed habitats (shrub, woodlands, deciduous forest, 32% of sightings).The foxes shifted to higher ground in response to seasonal flooding. In Minas Gerais,Brazil, two radio-tagged foxes were observed most often at the interface of livestockpasture and gallery forest “vereidas” and less frequently in eucalyptus/agriculturalplantations (8%)",". Omnivorous: diet includes fruit, vertebrates, insects, amphibians,crustaceans, birds, and carrion. An opportunistic predator; diet at any one locationvaries according to availability, season, and probably social status. In areas of humandisturbance, a large proportion of the diet may comprise foods such as cultivated fruits,domestic fowl, and refuse. In the Venezuelan Llanos, the percent volume of food itemsfrom the contents of 104 fox stomachs from four different locations included: smallmammals (26%), fruit (24%), amphibians (13%), insects (11%); the dry season dietwas predominantly small mammals, reptiles, and amphibians, with insect and fruit be-coming more frequent in the wet season. In one Venezuelan location, land crabs (D210cmrz'nus spp.) were the most frequently occurring dietary item in the rainy season, andin the Iber'ci Wetlands (Corrientes, Argentina), aquatic birds were identiﬁed in 87%of 2?) fox seats collected in the vicinity of a bird breeding colony. Vertebrates were themost frequently encountered food item (69%) of 74 prey items identiﬁed in 22 seats \.\\\‘____\\Mwcollected at elevations of above 2600 m in the eastern Colombian Andes, but wer ileast favored food item (15%) in feces collected from the lowland wooded savanfs}: %0f Marajt’) (Brazil), where cultivated and wild fruit (57%) and insects (86%) were mgr: Efrequently encountered. Crab—eating F oxes hunt individually, but most Commonly asFall‘s; 1—3 adult—sized offspring may accompany them. Cooperative hunting apparentl‘v 'IS rare. They will tolerate Close proximity when foraging 0n concentrated, easily avaii-able food items such as turtle eggs, fruit, insects (e.g. termites), and sizeable carrion '(e.g. goat carcass). The young start to hunt with the parents at about six weeks of Iage. Hunting strategies include spring—pouncing to capture vertebrates, ground—level ;lateral head movements to snatch insects, and directional maneuvers in pursuit ofland crabs. The foxes in Marajé deliver a series of shoulder blows, with face up—turned, :to some food items (e.g. toads, eggs) prior to comsuming them. In the same region, ifoxes search for and consume small stones from speciﬁc open gravel sites, presumably ;as a source of minerals. F oxes cache food items but do not regularly urine—mark them. iThey probably act as seed dispersers of a range of wild and cultivated plant species,as indicated by the presence of germinating seeds in their seats. Examples includeAcacia aroma and Celtis tala (montane Chaco, Argentina), Butia capitata (Uruguay),Howm'a dulcz's (Iguagti N ational Park, Brazil), Ficus spp. (south—eastem Brazil), Psidz'umgm'neense, Humirz’a balsamz'fem, and Anacardium occidentale (Amazonian Brazil)."
Crab-eating mongoose,"Evergreen andldeciduous forest, scrubby areas, and plantations. Also report-ed to inhabit wetlands, forest streams, and small marshes inside forests. Often foundnear pools and streams. Recorded up to 2000 m.",". In northern Taiwan, the percentage occurrence of food Items 1nseats was: 96% insects, 74% crustaceans, 65% amphibians, 48% reptiles, 18% earth—worms, 17% gastmpods, 14% chilopods, and less than 10% mammals, plants, birds,ﬁsh, and arachnids. In terms of overall volume, crustaceans (29%) and insects (28%)were the highest, followed by amphibians (16%) and reptiles (14%). The diet ap-peared to vary with Changes in the availability of food in different habitats and seasons;Crab—eating Mongooses ate more insects in summer and autumn, more crustaceansin Winter, and more reptiles in late spring and early summer. In south—eastern China,the percentage occurrence of food items in scars was: 65% rodents, 48% beetles, 45%snakes, 44% crabs, 10% Clams, 8% birds, 8% grass, and 7% Cherokee rose fruit. A fewother mammals, amphibians, frogs, ﬁsh, locusts, snails, centipedes, and fruits werefound at low occurrence (less than 6%). Crab—eating Mongooses hunt along the banksof streams, feeling under stones, and in rock crevices, and scratch, dig and sniff atthe ground. They are supposed to be good divers and swimmers and do not hesitateto enter water. Crabs and molluscs are taken with the forepaws and either lifted andsmashed on a rock or thrown between the hindlimbs to a hard surface behind."
Culpeo,THe culepo ranges from rugged and mountain terrain up to the tree line to deep valleys and open deserts scrubby pampas sclerophyllous matorral and broadleaved temperate southern beech forest in the south. the culepo uses the entire range of habitat moisture gradients from the dry desert to broadleaved rainforest in the andes of peru chile bolivia and argentina it reaches elevations of up to 4800m. where it occupies colder and dryer environmentsthan any other south american canid.,". Diet includes wild ungulates, (lmnestic sheep (northern Patago-nia), 1’111‘0pezm Hares (117nm (”Il‘r()/)(’Il..8‘), European Rabbits, 51112111 11121111111ztls. lizards,birds, and insects. Although it is an opportunistic predator, the (Zulpen is consideredmore (‘211‘11ivnruus and a CONSUIHCI‘ of larger 11121111111alia11 prey than the other SouthA111ericzt11 foxes. Most tmphic studies found seasonal differences in diet C(1111p05iti011,probably in response to prey availability. I11 Argentine Patagonia. (lttlpeos showed 211‘11‘ef‘e1‘e11ce for hares and selected among rodent species for those that may be morevuh1er21ble. (Iulpeos in central Chile selected the largest small mammals available. A]-thtmgh the bulk of the diet consists of animal prey, Culpeos are often described asT' consunwrs ()ffruits and berries and are therefore thought to disperse seeds of a varietyof plant species. Highest fruit consumption occurs when small 11131111112118 are the leastabundant. Culpeos tend to forage solitarily. Their foraging activity may be influencedby the nocturnal habits of their main prey, but also by persecution."
Darwins Fox,Generally believed to be a forest obligate species found only in southern temperate rainforests they inhabit dense valdavian forest which is very moist all year round the forest is dominated by fruit bearing trees in the family mirtaceae there are a few native conifers and several species of broad leaved evergreens radiotracking along a gradient od disturbance on chiloe indivated that in decreasing order foxes use old growth valdavian forest followed by secondary forest followed by pastures and openings about 70% of home ranges comprised old growth forest. However when compared to the availability of each forest gradient foxes showed preference for secondary forest and avoided old growth on the pacific coast of chiloe darwins foxes live in a fragmented environment of coastal dand dunes and dense evergreen forest on the northern part o the island they use a relatively flat fragmented landscape of broad leaf forest and cow pasture. the mainland population uses dense forest animals are found with decreasing frequency in dense monkey puzzle tree southern beech forest open nothofagus forest and open pasture,"Omniverous with a broad diet and highly oppourtunistic these traits facilitate its survival in a highly fluctuating environment with low prey availability Fecal analysis showed that the mainland population ate primarily small mammals, fol-lowed, in decreasing levels of importance, by reptiles, insects, birds, and arachmtIS.The proportions of these prey classes ﬂuctuated strongly according to season. Berneswere also included in the diet, occurring in about. 20% 0f the feces. On the mainlandDarwin’s Foxes rely heavily on the seeds of monkey—puzzle trees from March to May.011 (lhiloé, fecal analysis revealed that insects were the most abundant food item in thediet during the warm season, followed by amphibians, mammals, birds, and reptiles;49% of feces contained seeds. During late summer and fall, the diet was almost entirelyfruits of Mirtaceae trees. Foxes may be considered a key species because of their rolein dispersing the seeds of forest plants. An experiment indicated that a high percent-age of the seeds of one tree species (Amomyrtus luma) collected from feces germinatedunder ﬁeld conditions. Darwin’s Foxes also eat carrion in small amounts, as evidencedby the remains (e.g. hair) of sheep, pigs, cattle, and horses in feces. Local settlers re-ported that lone foxes also kill Southern Pudu deer (Pudu puda; about 10 kg in weight)by biting their ankles and then the throat. In addition, coastal foxes feed on shellfishand shorebirds, and have been Observed feeding on large brown algae 0n the beach."
Dhole,". Dholes are found in a wide variety of vegetation types, including primary, sec-ondary, and degraded forms of tropical dry and moist deciduous forest; evergreen and 'semi-evergreen forests; dry thorn forests; grassland scrub forest mosaics; and alpine 'steppe (above 3000 m). They are not recorded from desert regions. In India, tropical dry and moist deciduous forest may represent optimal habitats, based on the regions thought to hold the largest Dhole populations. Ungulate biomass, particularly that of cervid species, is highest in these vegetation types when compared to others in the :same region. Important factors that may influence habitat selection include the availability of medium to large ungulate prey species, water, the presence of other large car-nivore species, human population levels, and suitability of breeding sites (i.e. in termsof proximity to water, presence of suitable boulder structures, and sufﬁcient prey)",". Diet includes beetles, rodents, birds, and occasionally grass andother plants like many other canids. However, Dholes hunt mainly vertebrate prey.with a preference for medium to large ungulates. They are also known to scavengeand occasionally have been observed eating carrion (e.g. Asian Elephant (Elephas max-z'mus) and Gaur (Box frontalis) carcasses). It has been suggested that such scavengingonly occurs during periods of prey scarcity, particularly during the dry season. Grassis ingested, but may serve an anti—helminthic function rather than a nutritional one.Dholes are communal hunters, occasionally forming packs of over 30 animals, but aremore often found in hunting groups of fewer than ten animals. Depending on preyavailability, Dholes may also hunt alone or in pairs, taking smaller prey such as deerfawns or hares. During hunts, some Dholes may lie in ambush while others drive preytowards them. Dholes often drive deer into water, where they swim out to surroundand capture them. It is Common for certain individuals to take particular roles in theilurit, such as ieading the Chase or taking the ﬁrst grab at the prey."
